"code_ogr","code_tete_rgpmt","libelle_activite","libelle_activite_impression","code_type_activite","libelle_type_activite","code_type_item_activite","libelle_type_item_activite","statut"
"100408","","Identifier le motif de consultation et son degré d''urgence et informer le client sur les modalités de prise en charge de l''animal","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100409","","Préparer et installer l''animal (désinfection, rasage, mise en cage, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100410","","Préparer le matériel et apporter une aide technique au vétérinaire, à l''éleveur, ...","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100415","","Intervenir auprès d''animaux équidés","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100416","","Intervenir auprès d''animaux de compagnie","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100417","","Intervenir auprès d''animaux de rapport (vaches, porcs, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100418","","Intervenir auprès d''animaux en captivité","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100421","","Identifier avec le client le type d''intervention (ferrage traditionnel, orthopédique, ...) et en définir les modalités (coût, date de rendez-vous, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100422","","Repérer les affections du pied de l''animal (boiterie, douleur, abcès, ...) et procéder à son immobilisation pour l''intervention","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100424","","Sélectionner le fer en fonction de la mobilité, de l''effort et de la morphologie de l''animal et le former d''après l''empreinte","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100426","","Informer et conseiller sur le type de ferrure, les produits de soin, le besoin de consultation vétérinaire (prescription de médicaments, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100433","","Réaliser et/ou poser une ferrure orthopédique","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100434","","Réaliser et/ou poser une ferrure pathologique","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100435","","Réaliser et/ou poser une ferrure thérapeutique","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100445","","Identifier la demande (toilettage saisonnier, traitement anti-parasitaire, ...) du propriétaire de l''animal et planifier l''intervention","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100446","","Vérifier l''aspect de l''animal et orienter si nécessaire le propriétaire vers un vétérinaire, un éducateur canin, ...","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100447","","Sélectionner le matériel et les produits et préparer l''animal au toilettage par désinfection, douche, ...","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100448","","Procéder aux soins de toilettage des animaux","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100449","","Conseiller le client sur les articles destinés aux animaux et procéder à la vente","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100450","","Renseigner le dossier de suivi de l''animal et proposer des soins ultérieurs","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100456","","Identifier la demande de l''interlocuteur (propriétaire de l''animal, éleveur, soigneur, ...) et déterminer les modalités d''intervention (soin sur place, transfert, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100457","","Recueillir les informations sur l''animal (troubles, comportement, antécédents, traitements en cours, ...) auprès de son accompagnant ou dans le dossier médical","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100458","","Procéder à l''examen clinique de l''animal et déterminer les besoins thérapeutiques (médication, intervention chirurgicale, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100459","","Informer le responsable de l''animal sur la prise en charge thérapeutique (traitement, risques, coût, durée, ...) ou l''orienter vers un service spécialisé (centre hospitalier vétérinaire, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100460","","Réaliser les soins sur l''animal ou procéder à des examens complémentaires (radiographie, prélèvements biologiques, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100461","","Réaliser l''intervention chirurgicale de l''animal et effectuer la surveillance post-opératoire","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100462","","Conseiller sur l''alimentation, les soins, la médication de l''animal ou procéder à la vente de médicaments, d''apports nutritionnels","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100472","","Intervenir auprès d''animaux de compétition","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100473","","Intervenir auprès d''animaux de rente (bovins, ovins, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100474","","Intervenir auprès d''animaux sauvages","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100475","","Effectuer des analyses biologiques (parasitologie, bactériologie, virologie, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100486","","Déterminer les contraintes techniques de l''oeuvre liées aux caractéristiques des matériaux, aux conditions d''exposition, aux normes de sécurité","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100501","","Créer des oeuvres","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100519","","Réaliser des oeuvres en bois et dérivés","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100520","","Réaliser des oeuvres en matériaux céramiques","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100521","","Réaliser des oeuvres en matériaux de synthèse (pierre reconstituée, plâtre)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100522","","Réaliser des oeuvres en métal","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100523","","Réaliser des oeuvres en papier","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100524","","Réaliser des oeuvres en pierre","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100525","","Réaliser des oeuvres en polystyrène","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100526","","Réaliser des oeuvres en verre","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100550","","Réaliser des papiers cadeaux","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100558","","Façonner des pièces d''art","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100560","","Façonner des articles d''art de la table","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100579","","Décorer des ouvrages par engobe","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100585","","Décorer des ouvrages par effets de surface ou de matière (lustre, cristallisation)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100586","","Décorer des ouvrages par procédés d''impression répétitifs (sérigraphie, pochoir, tampon)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100601","","Repérer les tendances et les ambiances de décoration","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100614","","Concevoir l''aménagement de boutiques","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100615","","Concevoir l''aménagement de salons et d''expositions commerciales","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100616","","Concevoir l''aménagement de manifestations évènementielles","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100617","","Concevoir l''aménagement de musée et d''expositions culturelles","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100618","","Concevoir l''aménagement de hall, guichet, accueil","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100658","","Appliquer une couche de métal par l''argenture","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100659","","Appliquer une couche de métal par la dorure","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100660","","Appliquer une couche de métal par cuivrage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100661","","Appliquer une couche de métal par nickelage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100677","","Restaurer des ouvrages graphiques","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100678","","Restaurer des sculptures","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100679","","Restaurer des tableaux","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100680","","Restaurer des cadres","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100684","","Reporter ou reproduire un décor en petite série selon des techniques de papier à la cuve","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100711","","Réaliser des ciselures en repoussé indirect (resingle)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100712","","Réaliser des ciselures en tracé-mati","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100713","","Réaliser des ciselures à la molette","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100714","","Réaliser des gravures ou des ciselures sur linoléum","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100715","","Réaliser des gravures ou des ciselures sur plastiques, composites","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100720","","Réaliser des gravures ou des ciselures sur verre, cristal","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100723","","Réaliser des ornementations ou des décorations spécifiques avec l''emaillage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100731","","Terminer l''ouvrage par rabattage des tiges d''osier, le serrage des lignes torsadées, insérer les éléments de renforts et effectuer les opérations de ponçage, vernis","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100748","","Réaliser des objets décoratifs et objets d''art","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100749","","Réaliser des objets de jardins","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100760","","Réaliser des opérations d''architecture végétale décorative ou utilitaire (tressage de l''osier)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100784","","Réaliser des dorures et des décorations en titrage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100788","","Réaliser des dorures et des décorations en papier reliure","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100809","","Réparer des instruments électroacoustiques","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100812","","Réparer des percussions (batterie, cymbales, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100836","","Réaliser des décors de ciselure, travail en percée","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100837","","Réaliser des décors de filet","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100838","","Réaliser des décors d''incrustation d''éléments (nacre, ivoire, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100839","","Réaliser des décors de peinture","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100840","","Réaliser des décors de sculpture","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100856","","Réaliser des éléments de mobilier","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100857","","Réaliser des éléments de serrurerie, quincaillerie d''art","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100858","","Réaliser des escaliers, rambardes, mezzanines, pergola, vitrines","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100859","","Réaliser des grilles ornementales","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100861","","Réaliser des luminaires","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100862","","Réaliser des objets décoratifs","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100864","","Réaliser des statuaires monumentales","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100871","","Réaliser des ouvrages en métaux précieux","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100888","","Réaliser des cliquetages","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100889","","Réaliser des ciselures","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100890","","Réaliser des gravures, guillochages","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100897","","Appliquer une couche de métal par bronzage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100898","","Vérifier la faisabilité de la commande (dimensions de la pièce en verre, aspect esthétique, ...), définir et arrêter avec le client les conditions de réalisation (délais, coût, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100901","","Souffler le verre pour le mettre en forme (soufflage, étirement, torsion, ...) et veiller au maintien de sa température (arche de recuisson, fours de réchauffe, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100924","","Usiner ou assembler le verre selon des opérations de biseautage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100925","","Usiner ou assembler le verre selon des opérations de coupe","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100926","","Usiner ou assembler le verre selon des opérations de perçage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100927","","Usiner ou assembler le verre selon des opérations de sciage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100928","","Usiner ou assembler le verre selon des opérations de soudure verre","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100929","","Usiner ou assembler le verre selon des opérations de collage à chaud","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100955","","Tracer, couper des plaques et panneaux de verre","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100957","","Assembler des plaques et panneaux de verre","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"100964","","Détecter les défauts, nuances, alliage des matériaux et déterminer les contraintes de la pièce","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101017","","Tailler des diamants","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101018","","Tailler des pierres fines et ornementales","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101019","","Tailler des rubis, saphirs, émeraudes","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101024","","Remplacer les pièces défectueuses par échange standard (mouvement quartz, aiguilles, cadrans, ...) et assembler les éléments","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101037","","Intervenir sur des chronomètres","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101038","","Intervenir sur des horloges","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101039","","Intervenir sur des systèmes d''horlogerie technique (dispositifs de commandes horaires, systèmes de sécurité électromécaniques, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101040","","Intervenir sur des montres, chronomètres, réveils","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101041","","Intervenir sur des pendules","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101042","","Intervenir sur des réveils","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101045","","Réaliser des opérations de micromécanique sur des pièces d''horlogerie par usinage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101046","","Réaliser des opérations de micromécanique sur des pièces d''horlogerie par ébarbage, polissage, ponçage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101047","","Réaliser des opérations de micromécanique sur des pièces d''horlogerie par chassage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101061","","Habiller le mannequin (positionnement et tension de la peau, couture, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101090","","Définir avec le client les caractéristiques de l''article à réaliser selon ses souhaits, ses besoins et l''informer sur les conditions de réalisation","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101102","","Concevoir des modèles pour une cérémonie","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101103","","Concevoir des modèles pour une collection hiver/été enfant","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101104","","Concevoir des modèles pour une collection hiver/été femme","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101105","","Concevoir des modèles pour une collection hiver/été homme","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101106","","Concevoir des modèles pour un spectacle","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101114","","Réaliser un chapeau de spectacle","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101125","","Sélectionner les matériaux, produits et accessoires de l''article","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101126","","Réaliser les opérations de coupe de matériaux (positionnement de gabarit, ...) manuellement ou à l''aide d''une machine","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101127","","Assembler (collage, couture) les pièces de l''article (tige, soufflet) manuellement ou à l''aide d''une machine","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101128","","Réaliser les opérations de finition sur les pièces et articles montés (coupe de fil, teinte de tranche, nourriture du cuir, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101129","","Vérifier la conformité des pièces/articles façonnés (aspect de teinte, régularité des coutures, ...) et procéder aux actions correctives","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101139","","Façonner de la petite maroquinerie (portefeuilles, ceintures, ...) à l''aide de matériaux souples (cuirs, PVC, velours, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101143","","Façonner des bâches, tentes, stores à l''aide de matériaux souples (cuirs, PVC, velours, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101146","","Façonner des gants à l''aide de matériaux souples (cuirs, PVC, velours, ...)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101152","","Réaliser des opérations de parage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101154","","Réaliser des opérations de rembordage, rempliage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101163","","Prendre les mensurations du client et les consigner (fiche client)","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101166","","Ajuster les pièces du vêtement (manches, col) par essayage","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101178","","Réaliser des robes de soirée, de cérémonie, à l''unité ou en petite série","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101180","","Réaliser des pantalons, gilets à l''unité ou en petite série","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101181","","Réaliser des articles de lingerie/balnéaire/corseterie à l''unité ou en petite série","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101182","","Réaliser des vêtements haute couture à l''unité ou en petite série","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
"101183","","Réaliser des vêtements professionnels à l''unité ou en petite série","","3","ACTIVITE DE BASE ET/OU SPECIFIQUE","2","SIMPLE","1"
