"code_ogr","code_type_referentiel","code_pere","code_noeud","libelle_item_arbo","code_item_arbo_associe","code_type_noeud","libelle_type_noeud","statut"
"24301","6","Racine AP","F","CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS","0","2","NOEUD","1"
"24302","6","F","F11","Conception et études","0","2","NOEUD","1"
"24303","6","F","F12","Conduite et encadrement de chantier - travaux","0","2","NOEUD","1"
"24304","6","F","F13","Engins de chantier","0","2","NOEUD","1"
"24305","6","F","F14","Extraction","0","2","NOEUD","1"
"24306","6","F","F15","Montage de structures","0","2","NOEUD","1"
"24307","6","F","F16","Second oeuvre","0","2","NOEUD","1"
"24308","6","F","F17","Travaux et gros oeuvre","0","2","NOEUD","1"
"24346","6","Racine AP","N","TRANSPORT ET LOGISTIQUE","0","2","NOEUD","1"
"24347","6","N","N1","Logistique","0","2","NOEUD","1"
"24348","6","N1","N11","Magasinage, manutention des charges et déménagement","0","2","NOEUD","1"
"24354","6","N1","N12","Organisation de la circulation des marchandises","0","2","NOEUD","1"
"24357","6","N1","N13","Personnel d''encadrement","0","2","NOEUD","1"
"24361","6","N","N2","Transport aérien et activités aéroportuaires","0","2","NOEUD","1"
"24362","6","N2","N21","Personnel navigant du transport aérien","0","2","NOEUD","1"
"24365","6","N2","N22","Personnel sédentaire du transport aérien","0","2","NOEUD","1"
"24371","6","N","N3","Transport maritime et fluvial et activités portuaires","0","2","NOEUD","1"
"24372","6","N","N4","Transport terrestre","0","2","NOEUD","1"
"24373","6","N4","N41","Personnel de conduite du transport routier","0","2","NOEUD","1"
"24379","6","N4","N42","Personnel d''encadrement du transport routier","0","2","NOEUD","1"
"24384","6","N4","N43","Personnel navigant du transport terrestre","0","2","NOEUD","1"
"24387","6","N4","N44","Personnel sédentaire du transport ferroviaire et réseau filo guidé","0","2","NOEUD","1"
"24391","6","N3","N31","Personnel navigant du transport maritime et fluvial","0","2","NOEUD","1"
"24395","6","N3","N32","Personnel sédentaire du transport maritime et fluvial","0","2","NOEUD","1"
"24399","6","Racine AP","M","SUPPORT A L''ENTREPRISE","0","2","NOEUD","1"
"24400","6","M","M11","Achats","0","2","NOEUD","1"
"24403","6","M","M12","Comptabilité et gestion","0","2","NOEUD","1"
"24411","6","M","M13","Direction d''entreprise","0","2","NOEUD","1"
"24414","6","M","M14","Organisation et études","0","2","NOEUD","1"
"24419","6","M","M15","Ressources humaines","0","2","NOEUD","1"
"24423","6","M","M16","Secrétariat et assistance","0","2","NOEUD","1"
"24433","6","M","M17","Stratégie commerciale, marketing et supervision des ventes","0","2","NOEUD","1"
"24441","6","M","M18","Systèmes d''information et de télécommunication","0","2","NOEUD","1"
"24452","6","Racine AP","L","SPECTACLE","0","2","NOEUD","1"
"24453","6","L","L11","Animation de spectacles","0","2","NOEUD","1"
"24457","6","L","L12","Artistes - interprètes du spectacle","0","2","NOEUD","1"
"24462","6","L","L13","Conception et production de spectacles","0","2","NOEUD","1"
"24463","6","Racine AP","G","HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION","0","2","NOEUD","1"
"24464","6","G","G11","Accueil et promotion touristique","0","2","NOEUD","1"
"24465","6","G","G12","Animation d''activités de loisirs","0","2","NOEUD","1"
"24466","6","G","G13","Conception, commercialisation et vente de produits touristiques","0","2","NOEUD","1"
"24467","6","G","G14","Gestion et direction","0","2","NOEUD","1"
"24472","6","G","G15","Personnel d''étage en hôtellerie","0","2","NOEUD","1"
"24473","6","G","G16","Production culinaire","0","2","NOEUD","1"
"24474","6","L","L14","Sport professionnel","0","2","NOEUD","1"
"24475","6","G","G17","Accueil en hôtellerie","0","2","NOEUD","1"
"24476","6","G","G18","Service","0","2","NOEUD","1"
"24489","6","L","L15","Techniciens du spectacle","0","2","NOEUD","1"
"24511","6","Racine AP","K","SERVICES A LA PERSONNE ET A LA COLLECTIVITE","0","2","NOEUD","1"
"24519","6","K","K11","Accompagnement de la personne","0","2","NOEUD","1"
"24524","6","K","K12","Action sociale, socio-éducative et socio-culturelle","0","2","NOEUD","1"
"24532","6","K","K13","Aide à la vie quotidienne","0","2","NOEUD","1"
"24537","6","K","K14","Conception et mise en oeuvre des politiques publiques","0","2","NOEUD","1"
"24543","6","K","K15","Contrôle public","0","2","NOEUD","1"
"24549","6","K","K16","Culture et gestion documentaire","0","2","NOEUD","1"
"24552","6","K","K17","Défense, sécurité publique et secours","0","2","NOEUD","1"
"24560","6","K","K18","Développement territorial et emploi","0","2","NOEUD","1"
"24563","6","K","K19","Droit","0","2","NOEUD","1"
"24568","6","K","K21","Formation initiale et continue","0","2","NOEUD","1"
"24581","6","K","K22","Nettoyage et propreté industriels","0","2","NOEUD","1"
"24586","6","K","K23","Propreté et environnement urbain","0","2","NOEUD","1"
"24593","6","K","K24","Recherche","0","2","NOEUD","1"
"24596","6","K","K25","Sécurité privée","0","2","NOEUD","1"
"24600","6","K","K26","Services funéraires","0","2","NOEUD","1"
"24606","6","Racine AP","I","INSTALLATION ET MAINTENANCE","0","2","NOEUD","1"
"24607","6","I","I11","Encadrement","0","2","NOEUD","1"
"24608","6","I","I12","Entretien technique","0","2","NOEUD","1"
"24609","6","I","I13","Equipements de production, équipements collectifs","0","2","NOEUD","1"
"24610","6","I","I14","Equipements domestiques et informatique","0","2","NOEUD","1"
"24611","6","I","I15","Travaux d''accès difficile","0","2","NOEUD","1"
"24612","6","I","I16","Véhicules, engins, aéronefs","0","2","NOEUD","1"
"24641","6","Racine AP","J","SANTE","0","2","NOEUD","1"
"24642","6","J","J11","Praticiens médicaux","0","2","NOEUD","1"
"24647","6","Racine AP","H","INDUSTRIE","0","2","NOEUD","1"
"24648","6","H","H1","Etudes et supports techniques à l''industrie","0","2","NOEUD","1"
"24649","6","J","J12","Praticiens médico-techniques","0","2","NOEUD","1"
"24650","6","H1","H11","Affaires et support technique client","0","2","NOEUD","1"
"24653","6","H1","H12","Conception, recherche, études et développement","0","2","NOEUD","1"
"24654","6","H1","H13","Hygiène Sécurité Environnement -HSE- industriels","0","2","NOEUD","1"
"24655","6","J","J13","Professionnels médico-techniques","0","2","NOEUD","1"
"24656","6","H1","H14","Méthodes et gestion industrielles","0","2","NOEUD","1"
"24657","6","H1","H15","Qualité et analyses industrielles","0","2","NOEUD","1"
"24688","6","J","J14","Rééducation et appareillage","0","2","NOEUD","1"
"24691","6","H","H2","Production industrielle","0","2","NOEUD","1"
"24692","6","J","J15","Soins paramédicaux","0","2","NOEUD","1"
"24693","6","H2","H21","Alimentaire","0","2","NOEUD","1"
"24696","6","H2","H22","Bois","0","2","NOEUD","1"
"24718","6","H2","H23","Chimie et pharmacie","0","2","NOEUD","1"
"24723","6","H2","H24","Cuir et textile","0","2","NOEUD","1"
"24739","6","H2","H25","Direction, encadrement et pilotage de fabrication et production industrielles","0","2","NOEUD","1"
"24745","6","H2","H26","Electronique et électricité","0","2","NOEUD","1"
"24751","6","H2","H27","Energie","0","2","NOEUD","1"
"24753","6","H2","H28","Matériaux de construction, céramique et verre","0","2","NOEUD","1"
"24759","6","H2","H29","Mécanique, travail des métaux et outillage","0","2","NOEUD","1"
"24774","6","H2","H31","Papier et carton","0","2","NOEUD","1"
"24777","6","H2","H32","Plastique, caoutchouc","0","2","NOEUD","1"
"24781","6","H2","H33","Préparation et conditionnement","0","2","NOEUD","1"
"24785","6","H2","H34","Traitements thermiques et traitements de surfaces","0","2","NOEUD","1"
"24800","7","Racine AR","001","Métiers de l''environnement et du développement durable","0","2","NOEUD","1"
"28487","7","Racine AR","002","Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)","0","2","NOEUD","1"
"28488","7","Racine AR","003","Métiers du patrimoine et de la restauration d''oeuvres d''art","0","2","NOEUD","1"
"28489","7","Racine AR","004","Métiers de l''intelligence économique","0","2","NOEUD","1"
"28490","7","Racine AR","005","Métiers de la recherche","0","2","NOEUD","1"
"28491","7","Racine AR","006","Métiers de la mer, du nautisme et de la construction navale","0","2","NOEUD","1"
"28492","7","Racine AR","007","Métiers de l''aéronautique","0","2","NOEUD","1"
"28493","7","Racine AR","008","Métiers de la sécurité publique et privée","0","2","NOEUD","1"
"28494","7","Racine AR","009","Métiers du multimédia","0","2","NOEUD","1"
"28495","7","Racine AR","010","Métiers de l''humanitaire (hors santé et tertiaire)","0","2","NOEUD","1"
"28496","7","Racine AR","011","Métiers du nucléaire","0","2","NOEUD","1"
"28497","7","Racine AR","012","Métiers auprès des enfants","0","2","NOEUD","1"
"28498","7","Racine AR","013","Métiers saisonniers, de vacances / Jobs d''été","0","2","NOEUD","1"
"28499","7","Racine AR","014","Métiers des services à la personne à domicile","0","2","NOEUD","1"
"28500","7","Racine AR","015","Métiers du sport et autour du sport","0","2","NOEUD","1"
"28501","7","Racine AR","016","Métiers de l''ingénierie","0","2","NOEUD","1"
"28502","7","Racine AR","017","Métiers accessibles sans diplôme et sans expérience","0","2","NOEUD","1"
"28654","7","017","171","Agriculture","0","2","NOEUD","1"
"28655","7","017","172","Transport logistique","0","2","NOEUD","1"
"28656","7","017","173","Commerce, vente et grande distribution","0","2","NOEUD","1"
"28657","7","017","174","Industries graphiques, images et sons","0","2","NOEUD","1"
"28658","7","017","175","Construction, bâtiment et travaux publics","0","2","NOEUD","1"
"28659","7","017","176","Hôtellerie-restauration, tourisme, loisirs","0","2","NOEUD","1"
"28660","7","017","177","Industrie","0","2","NOEUD","1"
"28661","7","017","178","Installation et maintenance","0","2","NOEUD","1"
"28662","7","017","179","Services à la personne et à la collectivité","0","2","NOEUD","1"
"28663","7","017","17A","Support à l''entreprise","0","2","NOEUD","1"
"126508","6","L15","_-536","Films d''animation et effets spéciaux","39022","3","FEUILLE","1"
"24136","6","A11","_-1","Conduite d''engins agricoles et forestiers","6","3","FEUILLE","1"
"24137","6","A12","_-2","Bûcheronnage et élagage","7","3","FEUILLE","1"
"24138","6","A12","_-3","Entretien des espaces naturels","8","3","FEUILLE","1"
"24139","6","A12","_-4","Entretien des espaces verts","9","3","FEUILLE","1"
"24140","6","A12","_-5","Protection du patrimoine naturel","10","3","FEUILLE","1"
"24141","6","A12","_-6","Sylviculture","11","3","FEUILLE","1"
"24142","6","A13","_-7","Conseil et assistance technique en agriculture","12","3","FEUILLE","1"
"24143","6","A13","_-8","Contrôle et diagnostic technique en agriculture","13","3","FEUILLE","1"
"24144","6","A13","_-9","Ingénierie en agriculture et environnement naturel","14","3","FEUILLE","1"
"24145","6","A14","_-10","Élevage bovin ou équin","21","3","FEUILLE","1"
"24146","6","A14","_-11","Élevage d''animaux sauvages ou de compagnie","22","3","FEUILLE","1"
"24147","6","A14","_-12","Élevage de lapins et volailles","23","3","FEUILLE","1"
"24148","6","A14","_-13","Élevage ovin ou caprin","24","3","FEUILLE","1"
"24149","6","A14","_-14","Élevage porcin","25","3","FEUILLE","1"
"24150","6","A14","_-15","Aide agricole de production fruitière ou viticole","15","3","FEUILLE","1"
"24151","6","A14","_-16","Aide agricole de production légumière ou végétale","16","3","FEUILLE","1"
"24152","6","A14","_-17","Aide d''élevage agricole et aquacole","17","3","FEUILLE","1"
"24153","6","A14","_-18","Aquaculture","18","3","FEUILLE","1"
"24154","6","A14","_-19","Arboriculture et viticulture","19","3","FEUILLE","1"
"24155","6","A14","_-20","Encadrement équipage de la pêche","20","3","FEUILLE","1"
"24156","6","A14","_-21","Fabrication et affinage de fromages","26","3","FEUILLE","1"
"24157","6","A14","_-22","Fermentation de boissons alcoolisées","27","3","FEUILLE","1"
"24158","6","A14","_-23","Horticulture et maraîchage","28","3","FEUILLE","1"
"24159","6","A14","_-24","Equipage de la pêche","29","3","FEUILLE","1"
"24160","6","A14","_-25","Polyculture, élevage","30","3","FEUILLE","1"
"24161","6","A14","_-26","Saliculture","31","3","FEUILLE","1"
"24162","6","A15","_-27","Aide aux soins animaux","32","3","FEUILLE","1"
"24163","6","A15","_-28","Podologie animale","33","3","FEUILLE","1"
"24164","6","A15","_-29","Toilettage des animaux","34","3","FEUILLE","1"
"24165","6","A15","_-30","Santé animale","35","3","FEUILLE","1"
"24177","6","B11","_-31","Création en arts plastiques","36","3","FEUILLE","1"
"24178","6","B12","_-32","Réalisation d''objets décoratifs et utilitaires en céramique et matériaux de synthèse","37","3","FEUILLE","1"
"24179","6","B13","_-33","Décoration d''espaces de vente et d''exposition","38","3","FEUILLE","1"
"24180","6","B13","_-34","Décoration d''objets d''art et artisanaux","39","3","FEUILLE","1"
"24181","6","B13","_-35","Gravure - ciselure","40","3","FEUILLE","1"
"24182","6","B14","_-36","Réalisation d''objets en lianes, fibres et brins végétaux","41","3","FEUILLE","1"
"24183","6","B14","_-37","Reliure et restauration de livres et archives","42","3","FEUILLE","1"
"24184","6","B15","_-38","Fabrication et réparation d''instruments de musique","43","3","FEUILLE","1"
"24185","6","B16","_-39","Métallerie d''art","44","3","FEUILLE","1"
"24186","6","B16","_-40","Réalisation d''objets artistiques et fonctionnels en verre","45","3","FEUILLE","1"
"24187","6","B16","_-41","Réalisation d''ouvrages en bijouterie, joaillerie et orfèvrerie","46","3","FEUILLE","1"
"24188","6","B16","_-42","Réparation - montage en systèmes horlogers","47","3","FEUILLE","1"
"24189","6","B17","_-43","Conservation et reconstitution d''espèces animales","48","3","FEUILLE","1"
"24190","6","B18","_-44","Réalisation d''articles de chapellerie","49","3","FEUILLE","1"
"24191","6","B18","_-45","Réalisation d''articles en cuir et matériaux souples (hors vêtement)","50","3","FEUILLE","1"
"24192","6","B18","_-46","Réalisation d''ouvrages d''art en fils","52","3","FEUILLE","1"
"24193","6","B18","_-47","Réalisation de vêtements sur mesure ou en petite série","51","3","FEUILLE","1"
"24194","6","B18","_-48","Stylisme","53","3","FEUILLE","1"
"24195","6","B18","_-49","Tapisserie - décoration en ameublement","54","3","FEUILLE","1"
"24202","6","C11","_-50","Études actuarielles en assurances","59","3","FEUILLE","1"
"24203","6","C11","_-51","Conception - développement produits d''assurances","55","3","FEUILLE","1"
"24204","6","C11","_-52","Conseil clientèle en assurances","56","3","FEUILLE","1"
"24205","6","C11","_-53","Courtage en assurances","57","3","FEUILLE","1"
"24206","6","C11","_-54","Direction d''exploitation en assurances","58","3","FEUILLE","1"
"24207","6","C11","_-55","Expertise risques en assurances","60","3","FEUILLE","1"
"24208","6","C11","_-56","Indemnisations en assurances","61","3","FEUILLE","1"
"24209","6","C11","_-57","Management de groupe et de service en assurances","62","3","FEUILLE","1"
"24210","6","C11","_-58","Rédaction et gestion en assurances","63","3","FEUILLE","1"
"24211","6","C11","_-59","Souscription d''assurances","64","3","FEUILLE","1"
"24212","6","C12","_-60","Accueil et services bancaires","65","3","FEUILLE","1"
"24213","6","C12","_-61","Analyse de crédits et risques bancaires","66","3","FEUILLE","1"
"24214","6","C12","_-62","Relation clients banque/finance","67","3","FEUILLE","1"
"24215","6","C12","_-63","Conception et expertise produits bancaires et financiers","68","3","FEUILLE","1"
"24216","6","C12","_-64","Conseil en gestion de patrimoine financier","69","3","FEUILLE","1"
"24217","6","C12","_-65","Gestion de clientèle bancaire","70","3","FEUILLE","1"
"24218","6","C12","_-66","Management en exploitation bancaire","71","3","FEUILLE","1"
"24219","6","C13","_-67","Front office marchés financiers","72","3","FEUILLE","1"
"24220","6","C13","_-68","Gestion back et middle-office marchés financiers","73","3","FEUILLE","1"
"24221","6","C13","_-69","Gestion de portefeuilles sur les marchés financiers","74","3","FEUILLE","1"
"24222","6","C14","_-70","Gestion en banque et assurance","75","3","FEUILLE","1"
"24223","6","C15","_-71","Gérance immobilière","76","3","FEUILLE","1"
"24224","6","C15","_-72","Gestion locative immobilière","77","3","FEUILLE","1"
"24225","6","C15","_-73","Management de projet immobilier","78","3","FEUILLE","1"
"24226","6","C15","_-74","Transaction immobilière","79","3","FEUILLE","1"
"24233","6","D11","_-75","Boucherie","80","3","FEUILLE","1"
"24234","6","D11","_-76","Boulangerie - viennoiserie","81","3","FEUILLE","1"
"24235","6","D11","_-77","Charcuterie - traiteur","82","3","FEUILLE","1"
"24236","6","D11","_-78","Pâtisserie, confiserie, chocolaterie et glacerie","83","3","FEUILLE","1"
"24237","6","D11","_-79","Poissonnerie","84","3","FEUILLE","1"
"24238","6","D11","_-80","Vente en alimentation","85","3","FEUILLE","1"
"24239","6","D11","_-81","Vente en gros de produits frais","86","3","FEUILLE","1"
"24240","6","D12","_-82","Achat vente d''objets d''art, anciens ou d''occasion","87","3","FEUILLE","1"
"24241","6","D12","_-83","Coiffure","88","3","FEUILLE","1"
"24242","6","D12","_-84","Hydrothérapie","89","3","FEUILLE","1"
"24243","6","D12","_-85","Location de véhicules ou de matériel de loisirs","90","3","FEUILLE","1"
"24244","6","D12","_-86","Nettoyage d''articles textiles ou cuirs","91","3","FEUILLE","1"
"24245","6","D12","_-87","Réparation d''articles en cuir et matériaux souples","92","3","FEUILLE","1"
"24246","6","D12","_-88","Retouches en habillement","93","3","FEUILLE","1"
"24247","6","D12","_-89","Soins esthétiques et corporels","94","3","FEUILLE","1"
"24248","6","D12","_-90","Vente de végétaux","95","3","FEUILLE","1"
"24249","6","D12","_-91","Vente en animalerie","96","3","FEUILLE","1"
"24250","6","D12","_-92","Vente en articles de sport et loisirs","97","3","FEUILLE","1"
"24251","6","D12","_-93","Vente en décoration et équipement du foyer","98","3","FEUILLE","1"
"24252","6","D12","_-94","Vente en gros de matériel et équipement","99","3","FEUILLE","1"
"24253","6","D12","_-95","Vente en habillement et accessoires de la personne","100","3","FEUILLE","1"
"24254","6","D13","_-96","Management de magasin de détail","101","3","FEUILLE","1"
"24255","6","D14","_-97","Assistanat commercial","102","3","FEUILLE","1"
"24256","6","D14","_-98","Relation commerciale grands comptes et entreprises","103","3","FEUILLE","1"
"24257","6","D14","_-99","Relation commerciale auprès de particuliers","104","3","FEUILLE","1"
"24258","6","D14","_-100","Relation commerciale en vente de véhicules","105","3","FEUILLE","1"
"24259","6","D14","_-101","Conseil en information médicale","106","3","FEUILLE","1"
"24260","6","D14","_-102","Management en force de vente","107","3","FEUILLE","1"
"24261","6","D14","_-103","Téléconseil et télévente","109","3","FEUILLE","1"
"24262","6","D14","_-104","Relation technico-commerciale","108","3","FEUILLE","1"
"24263","6","D15","_-105","Animation de vente","110","3","FEUILLE","1"
"24264","6","D15","_-106","Management/gestion de rayon produits alimentaires","111","3","FEUILLE","1"
"24265","6","D15","_-107","Management/gestion de rayon produits non alimentaires","112","3","FEUILLE","1"
"24266","6","D15","_-108","Direction de magasin de grande distribution","113","3","FEUILLE","1"
"24267","6","D15","_-109","Personnel de caisse","114","3","FEUILLE","1"
"24268","6","D15","_-110","Marchandisage","115","3","FEUILLE","1"
"24269","6","D15","_-111","Mise en rayon libre-service","116","3","FEUILLE","1"
"24270","6","D15","_-112","Encadrement du personnel de caisses","117","3","FEUILLE","1"
"24271","6","D15","_-113","Management de département en grande distribution","118","3","FEUILLE","1"
"24277","6","E12","_-114","Photographie","127","3","FEUILLE","1"
"24278","6","E12","_-115","Production en laboratoire photographique","129","3","FEUILLE","1"
"24279","6","E12","_-116","Réalisation de contenus multimédias","131","3","FEUILLE","1"
"24280","6","E13","_-117","Encadrement des industries graphiques","134","3","FEUILLE","1"
"24281","6","E11","_-118","Coordination d''édition","123","3","FEUILLE","1"
"24282","6","E13","_-119","Prépresse","137","3","FEUILLE","1"
"24283","6","E11","_-120","Journalisme et information média","124","3","FEUILLE","1"
"24284","6","F11","_-121","Architecture du BTP","142","3","FEUILLE","1"
"24285","6","E11","_-122","Animation de site multimédia","119","3","FEUILLE","1"
"24286","6","E12","_-123","Projection cinéma","130","3","FEUILLE","1"
"24287","6","E13","_-124","Conduite de machines d''impression","132","3","FEUILLE","1"
"24288","6","E11","_-125","Conception de contenus multimédias","122","3","FEUILLE","1"
"24289","6","E13","_-126","Façonnage et routage","135","3","FEUILLE","1"
"24290","6","E14","_-127","Développement et promotion publicitaire","140","3","FEUILLE","1"
"24291","6","E11","_-128","Organisation d''évènementiel","125","3","FEUILLE","1"
"24292","6","E14","_-129","Élaboration de plan média","141","3","FEUILLE","1"
"24293","6","E12","_-130","Production en laboratoire cinématographique","128","3","FEUILLE","1"
"24294","6","E11","_-131","Ecriture d''ouvrages, de livres","120","3","FEUILLE","1"
"24295","6","E11","_-132","Communication","121","3","FEUILLE","1"
"24296","6","E13","_-133","Conduite de machines de façonnage routage","133","3","FEUILLE","1"
"24297","6","E13","_-134","Préparation et correction en édition et presse","136","3","FEUILLE","1"
"24298","6","E13","_-135","Reprographie","138","3","FEUILLE","1"
"24299","6","E13","_-136","Intervention technique en industrie graphique","139","3","FEUILLE","1"
"24300","6","E11","_-137","Traduction, interprétariat","126","3","FEUILLE","1"
"24309","6","F11","_-138","Études géologiques","146","3","FEUILLE","1"
"24310","6","F11","_-139","Conception - aménagement d''espaces intérieurs","143","3","FEUILLE","1"
"24311","6","F11","_-140","Contrôle et diagnostic technique du bâtiment","144","3","FEUILLE","1"
"24312","6","F11","_-141","Dessin BTP","145","3","FEUILLE","1"
"24313","6","F11","_-142","Ingénierie et études du BTP","147","3","FEUILLE","1"
"24314","6","F11","_-143","Métré de la construction","149","3","FEUILLE","1"
"24315","6","F11","_-144","Mesures topographiques","148","3","FEUILLE","1"
"24316","6","F12","_-145","Conduite de travaux du BTP","150","3","FEUILLE","1"
"24317","6","F12","_-146","Direction de chantier du BTP","151","3","FEUILLE","1"
"24318","6","F12","_-147","Direction et ingénierie d''exploitation de gisements et de carrières","152","3","FEUILLE","1"
"24319","6","F12","_-148","Sécurité et protection santé du BTP","153","3","FEUILLE","1"
"24320","6","F13","_-149","Conduite d''engins de terrassement et de carrière","155","3","FEUILLE","1"
"24321","6","F13","_-150","Conduite de grue","154","3","FEUILLE","1"
"24322","6","F14","_-151","Extraction liquide et gazeuse","156","3","FEUILLE","1"
"24323","6","F14","_-152","Extraction solide","157","3","FEUILLE","1"
"24324","6","F15","_-153","Montage de structures et de charpentes bois","158","3","FEUILLE","1"
"24325","6","F15","_-154","Montage de structures métalliques","159","3","FEUILLE","1"
"24326","6","F15","_-155","Réalisation - installation d''ossatures bois","160","3","FEUILLE","1"
"24327","6","F16","_-156","Électricité bâtiment","162","3","FEUILLE","1"
"24328","6","F16","_-157","Application et décoration en plâtre, stuc et staff","161","3","FEUILLE","1"
"24329","6","F16","_-158","Installation d''équipements sanitaires et thermiques","163","3","FEUILLE","1"
"24330","6","F16","_-159","Montage d''agencements","164","3","FEUILLE","1"
"24331","6","F16","_-160","Montage de réseaux électriques et télécoms","165","3","FEUILLE","1"
"24332","6","F16","_-161","Peinture en bâtiment","166","3","FEUILLE","1"
"24333","6","F16","_-162","Pose de fermetures menuisées","167","3","FEUILLE","1"
"24334","6","F16","_-163","Pose de revêtements rigides","168","3","FEUILLE","1"
"24335","6","F16","_-164","Pose de revêtements souples","169","3","FEUILLE","1"
"24336","6","F16","_-165","Pose et restauration de couvertures","170","3","FEUILLE","1"
"24337","6","F16","_-166","Réalisation et restauration de façades","171","3","FEUILLE","1"
"24338","6","F16","_-167","Taille et décoration de pierres","172","3","FEUILLE","1"
"24339","6","F16","_-168","Travaux d''étanchéité et d''isolation","173","3","FEUILLE","1"
"24340","6","F17","_-169","Construction de routes et voies","175","3","FEUILLE","1"
"24341","6","F17","_-170","Construction en béton","174","3","FEUILLE","1"
"24342","6","F17","_-171","Maçonnerie","176","3","FEUILLE","1"
"24343","6","F17","_-172","Préparation du gros oeuvre et des travaux publics","177","3","FEUILLE","1"
"24344","6","F17","_-173","Pose de canalisations","178","3","FEUILLE","1"
"24345","6","F17","_-174","Préfabrication en béton industriel","179","3","FEUILLE","1"
"24349","6","N11","_-175","Conduite d''engins de déplacement des charges","500","3","FEUILLE","1"
"24350","6","N11","_-176","Déménagement","501","3","FEUILLE","1"
"24351","6","N11","_-177","Magasinage et préparation de commandes","502","3","FEUILLE","1"
"24352","6","N11","_-178","Manutention manuelle de charges","504","3","FEUILLE","1"
"24353","6","N11","_-179","Manoeuvre et conduite d''engins lourds de manutention","503","3","FEUILLE","1"
"24355","6","N12","_-180","Affrètement transport","505","3","FEUILLE","1"
"24356","6","N12","_-181","Gestion des opérations de circulation internationale des marchandises","506","3","FEUILLE","1"
"24358","6","N13","_-182","Conception et organisation de la chaîne logistique","507","3","FEUILLE","1"
"24359","6","N13","_-183","Direction de site logistique","508","3","FEUILLE","1"
"24360","6","N13","_-184","Intervention technique d''exploitation logistique","509","3","FEUILLE","1"
"24363","6","N21","_-185","Navigation commerciale aérienne","510","3","FEUILLE","1"
"24364","6","N21","_-186","Pilotage et navigation technique aérienne","511","3","FEUILLE","1"
"24366","6","N22","_-187","Personnel d''escale aéroportuaire","512","3","FEUILLE","1"
"24367","6","N22","_-188","Contrôle de la navigation aérienne","513","3","FEUILLE","1"
"24368","6","N22","_-189","Exploitation des pistes aéroportuaires","514","3","FEUILLE","1"
"24369","6","N22","_-190","Préparation des vols","515","3","FEUILLE","1"
"24370","6","N22","_-191","Direction d''escale et exploitation aéroportuaire","516","3","FEUILLE","1"
"24374","6","N41","_-192","Conduite de transport de marchandises sur longue distance","523","3","FEUILLE","1"
